id	itemTime	trialNumber	name	type	question	relevance	competence	prior	condition	answer	RT	language	comments	engagement	difficulty
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961784570	3	Swiss watch protoype testing	hlh	The company uses spare parts imported from Malaysia.	1	0	1	test_uncertain	0.26	27599	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961791866	4	Swiss watch protoype testing	hlh	The apprentice knows whether the prototype passed all of the tests scheduled for today.	1	0	1	comp	0.08	7296	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961819203	5	Martha's cookies	llh	Martha had dinner with a friend.	0	0	1	test_false	0.67	27336	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961835123	6	Martha's cookies	llh	From what Martha said we may conclude that Emily did not eat all of the cookies.	0	0	1	imp	0.16	15919	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961841899	7	M&M's in the hospital	lhh	Aunt Bethany gave Henry only candy.	0	1	1	test_false	0	6775	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961849803	8	M&M's in the hospital	lhh	Henry liked all of the M&Ms.	0	1	1	prior	0.69	7903	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961861067	9	Star Trek expert quiz	hhh	Amber won the game.	1	1	1	test_uncertain	0.5	11262	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961867122	10	Star Trek expert quiz	hhh	From what George said we may conclude that Amber did not get all of the answers right.	1	1	1	imp	0.98	6055	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961879059	11	van Gogh exhibition	lhl	The curator refused to talk to the mayor.	0	1	0	test_false	0	11935	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961884866	12	van Gogh exhibition	lhl	The curator knows whether all of van Gogh's paintings are among the most valuable paintings in the world.	0	1	0	comp	1	5807	English	NA	7	6
A13VIJ7G997ZCY:3WQ3B2KGE9O7UMWY4ZDW1RC3UBR1B3	1454961896658	13	stand-up comedy show	lll	Lennard is popular in Seattle.	0	0	0	test_true	0.58	11791	English	NA	7	6
